16,11,15,9,13,10,14,12
16,12,15,11,13,9,10,14
16,12,14,11,15,13,9,10
16,12,10,14,13,15,11,9
16,12,10,11,15,9,13,14
16,12,15,11,13,9,14,10
16,12,14,10,13,15,11,9
16,12,10,15,11,13,9,14
16,12,13,11,15,9,10,14
16,14,10,11,15,9,13,12
16,12,10,14,15,11,9,13
16,10,13,11,15,9,14,12
16,14,13,15,11,9,10,12
16,12,10,14,15,11,9,13
16,12,14,13,15,11,9,10
16,10,13,15,11,9,14,12
16,12,14,15,11,9,13,10
16,12,14,10,15,11,13,9
16,12,15,11,13,9,10,14
16,12,10,14,13,11,15,9
16,14,10,11,15,13,9,12
16,14,10,15,11,13,9,12
16,12,14,13,15,11,9,10
16,12,10,13,15,11,9,14
16,11,15,13,9,14,10,12
16,10,13,15,11,9,14,12
16,12,14,13,11,15,9,10
16,12,14,11,15,13,9,10
16,12,10,14,13,15,11,9
16,12,10,14,13,15,11,9
16,12,14,13,15,11,9,10
16,12,14,10,11,15,9,13
16,12,10,14,11,15,13,9
16,12,14,13,15,11,9,10
16,12,15,11,13,9,10,14
16,10,14,13,15,11,9,12
16,14,11,15,9,13,10,12
16,14,10,13,15,11,9,12
16,14,11,15,13,9,10,12
16,12,10,14,13,15,11,9
16,12,14,13,11,15,9,10
16,10,11,15,9,13,14,12
16,14,13,15,11,9,10,12
16,12,10,11,15,13,9,14
16,12,10,15,11,13,9,14
